id,category,intent,question,answer,keywords,language,source_url,last_reviewed,priority
zain-0001,business,business_name,What is the business called?,The business name in the supplied knowledge document is Zain Bike Center.,"Zain Bike Center,business name,shop,brand",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0002,business,business_name,Is this Zain Bike Center?,The business name in the supplied knowledge document is Zain Bike Center.,"Zain Bike Center,business name,shop,brand",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0003,business,business_overview,What does Zain Bike Center do?,"Zain Bike Center says it provides bike-modification deals through an ecommerce store and a physical store in Rawalpindi. It was established in 2018, and the document names Mr. Abdul Rauf Bhatti as CEO.","about,overview,bike modification,ecommerce,physical shop,2018,Abdul Rauf Bhatti,CEO",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0004,business,business_overview,Tell me about Zain Bike Center.,"Zain Bike Center says it provides bike-modification deals through an ecommerce store and a physical store in Rawalpindi. It was established in 2018, and the document names Mr. Abdul Rauf Bhatti as CEO.","about,overview,bike modification,ecommerce,physical shop,2018,Abdul Rauf Bhatti,CEO",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0005,business,store_address,Where is Zain Bike Center located?,"The documented address is Jahaz Ground, Chatri Chowk, Khannapul, Rawalpindi.","address,location,Jahaz Ground,Chatri Chowk,Khannapul,Rawalpindi,shop",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0006,business,store_address,Shop ka address kya hai?,"The documented address is Jahaz Ground, Chatri Chowk, Khannapul, Rawalpindi.","address,location,Jahaz Ground,Chatri Chowk,Khannapul,Rawalpindi,shop",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0007,business,store_hours,What are the shop timings?,"The documented shop hours are 9:00 AM to 9:00 PM, seven days a week.","timing,hours,open,close,9 AM,9 PM,7 days,week",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0008,business,store_hours,Shop kab khulti hai?,"The documented shop hours are 9:00 AM to 9:00 PM, seven days a week.","timing,hours,open,close,9 AM,9 PM,7 days,week",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0009,business,physical_purchase,Can I buy from the physical shop?,Yes. The document says customers may visit the Rawalpindi shop and purchase there if they do not want home delivery or delivery charges.,"physical store,visit,walk in,pickup,buy at shop,no delivery charge,Rawalpindi",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0010,business,physical_purchase,Can I avoid delivery charges by visiting the shop?,Yes. The document says customers may visit the Rawalpindi shop and purchase there if they do not want home delivery or delivery charges.,"physical store,visit,walk in,pickup,buy at shop,no delivery charge,Rawalpindi",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0011,business,tiktok,What is Zain Bike Center's TikTok?,The documented TikTok ID is @zainbikecenter.,"TikTok,@zainbikecenter,social media,account",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0012,business,tiktok,TikTok ID kya hai?,The documented TikTok ID is @zainbikecenter.,"TikTok,@zainbikecenter,social media,account",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0013,support,availability,Which days is support available?,The document says Zain Bike Center is available seven days a week. It does not state a separate online response-time guarantee.,"available,7 days,Sunday,support,week,response time",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0014,support,availability,Are you available on Sunday?,The document says Zain Bike Center is available seven days a week. It does not state a separate online response-time guarantee.,"available,7 days,Sunday,support,week,response time",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0015,support,text_only,Can I send a voice message?,The document says voice messages cannot be answered; please send a text message with complete details and the issue.,"voice message,voice note,text message,type,reply,complete details",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0016,support,text_only,Why did nobody answer my voice note?,The document says voice messages cannot be answered; please send a text message with complete details and the issue.,"voice message,voice note,text message,type,reply,complete details",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0017,support,no_media_links,"Can I send videos, photos, or links in chat?","For a quicker response, the document asks customers not to send videos, photos, or links in the initial chat and to send a text message with complete details and the issue. A product-damage claim is different: the document asks for an opening video as evidence when an item is missing or damaged.","video,photo,link,text,quick response,message,damage evidence,unboxing",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0018,support,no_media_links,What should I send for a quick response?,"For a quicker response, the document asks customers not to send videos, photos, or links in the initial chat and to send a text message with complete details and the issue. A product-damage claim is different: the document asks for an opening video as evidence when an item is missing or damaged.","video,photo,link,text,quick response,message,damage evidence,unboxing",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0019,support,delayed_reply,I have not received a reply. What should I do?,"Send one clear text message containing your complete details and issue. The document says an agent will contact you as soon as possible, but it gives no exact response time; do not promise one.","no reply,delayed response,complete details,issue,human agent,text",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0020,support,delayed_reply,"Reply nahi mil raha, kya karun?","Send one clear text message containing your complete details and issue. The document says an agent will contact you as soon as possible, but it gives no exact response time; do not promise one.","no reply,delayed response,complete details,issue,human agent,text",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0021,ordering,minimum_order,What is the minimum order value?,The documented minimum bill is Rs 500; an order below Rs 500 should not be accepted.,"minimum bill,minimum order,Rs 500,500 rupees,order value",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0022,ordering,minimum_order,Can I order for less than Rs 500?,The documented minimum bill is Rs 500; an order below Rs 500 should not be accepted.,"minimum bill,minimum order,Rs 500,500 rupees,order value",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0023,ordering,order_requirements,What details are required to place an order?,"To place a delivery order, provide your name, phone number, complete address, and city, and pay the applicable delivery charge in advance. Send the transaction screenshot for confirmation. Share these details only through an official Zain Bike Center channel.","place order,book order,name,number,phone,address,city,advance delivery,transaction screenshot",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0024,ordering,order_requirements,Order book karne ke liye kya chahiye?,"To place a delivery order, provide your name, phone number, complete address, and city, and pay the applicable delivery charge in advance. Send the transaction screenshot for confirmation. Share these details only through an official Zain Bike Center channel.","place order,book order,name,number,phone,address,city,advance delivery,transaction screenshot",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0025,ordering,advance_delivery_required,Can my order be processed before I pay delivery charges?,No. The document says a delivery order cannot be processed until the delivery charge is paid in advance; the delivery charge cannot be paid after the parcel arrives.,"advance delivery charges,process order,pay later,COD delivery fee,parcel arrival",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0026,ordering,advance_delivery_required,Delivery charges parcel milne ke baad de sakta hun?,No. The document says a delivery order cannot be processed until the delivery charge is paid in advance; the delivery charge cannot be paid after the parcel arrives.,"advance delivery charges,process order,pay later,COD delivery fee,parcel arrival",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0027,ordering,full_advance_payment,Can I pay the whole order amount in advance?,The document says customers cannot pay the entire amount in advance. It only instructs customers to prepay the applicable delivery charge. Confirm the remaining collection method with the team before ordering; the document does not specify it further.,"full advance,entire payment,delivery charge only,remaining amount,payment method",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0028,ordering,full_advance_payment,Do you accept full advance payment?,The document says customers cannot pay the entire amount in advance. It only instructs customers to prepay the applicable delivery charge. Confirm the remaining collection method with the team before ordering; the document does not specify it further.,"full advance,entire payment,delivery charge only,remaining amount,payment method",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0029,ordering,transaction_proof,Do I need to send a payment screenshot?,"After paying the applicable delivery charge, send a screenshot of the transaction through an official Zain Bike Center channel so the team can confirm the order. Do not include a PIN, OTP, password, or other secret credential.","screenshot,transaction proof,payment confirmation,advance delivery,receipt,OTP,PIN",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0030,ordering,transaction_proof,How is advance delivery payment confirmed?,"After paying the applicable delivery charge, send a screenshot of the transaction through an official Zain Bike Center channel so the team can confirm the order. Do not include a PIN, OTP, password, or other secret credential.","screenshot,transaction proof,payment confirmation,advance delivery,receipt,OTP,PIN",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0031,ordering,combine_items_one_delivery_fee,Can I order different items with one delivery charge?,The document says different items or deals may be combined in one order and the applicable delivery charge is charged only once for that shipment.,"combine items,multiple products,one delivery charge,one shipment,add items,deals",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0032,ordering,combine_items_one_delivery_fee,Will I pay delivery charges for every item?,The document says different items or deals may be combined in one order and the applicable delivery charge is charged only once for that shipment.,"combine items,multiple products,one delivery charge,one shipment,add items,deals",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0033,ordering,deal_customization,Can I change items inside a deal?,No. The document says deal contents cannot be changed or modified; the detailing and glove deals are supplied as complete packages.,"change deal,modify package,customize,swap item,complete package,no changes",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0034,ordering,deal_customization,Can a package be customized?,No. The document says deal contents cannot be changed or modified; the detailing and glove deals are supplied as complete packages.,"change deal,modify package,customize,swap item,complete package,no changes",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0035,ordering,order_confirmation_status,Has my parcel been booked or dispatched?,"For a booking or dispatch confirmation, provide the name, phone number, and address used for the order through an official channel. The team will manually check and send a confirmation message. The knowledge document cannot confirm a specific order by itself.","booked,dispatched,sent,order confirmation,name,phone,address,manual check",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0036,ordering,order_confirmation_status,Mera parcel ja chuka hai?,"For a booking or dispatch confirmation, provide the name, phone number, and address used for the order through an official channel. The team will manually check and send a confirmation message. The knowledge document cannot confirm a specific order by itself.","booked,dispatched,sent,order confirmation,name,phone,address,manual check",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0037,ordering,unknown_product_availability,Do you have a product that is not listed here?,Share the requested product's exact details in text. The team must check availability and respond; do not assume that an undocumented product is in stock or invent its price.,"other product,availability,stock check,product details,unlisted accessory,price unknown",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0038,ordering,unknown_product_availability,Can you check availability of another bike accessory?,Share the requested product's exact details in text. The team must check availability and respond; do not assume that an undocumented product is in stock or invent its price.,"other product,availability,stock check,product details,unlisted accessory,price unknown",en,Zain Bike Center Knowledge.docx,2026-08-01,high
