id,category,intent,question,answer,keywords,language,source_url,last_reviewed,priority
blxck-0001,brand,brand_overview,What is Black x Original?,"Black x Original is a Pakistani ecommerce clothing brand. Customers can view the current catalogue, availability, prices, and offers on the official store at blxck.pk. Product details shown on the live product page should be treated as authoritative.","brand,about,Black x Original,BLXCK,brand,brand_overview,Pakistan ecommerce,customer support",en,https://blxck.pk/,2026-07-27,high
blxck-0002,brand,official_store,Is this the official Black x Original website?,"The official website supplied for Black x Original is https://blxck.pk/. Before paying, confirm the browser address uses blxck.pk and HTTPS; avoid payment links or accounts that cannot be verified.","official website,genuine,scam,authentic,brand,official_store,Pakistan ecommerce,customer support",en,https://blxck.pk/,2026-07-27,high
blxck-0003,catalog,browse_products,What products do you sell?,"Black x Original sells clothing online. Because styles and stock can change, open the store catalogue or collections on blxck.pk for the current range rather than relying on an old screenshot or social post.","clothing,catalogue,collection,products,catalog,browse_products,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,high
blxck-0004,catalog,new_arrivals,Where can I see new arrivals?,"Check the live store navigation and collections on blxck.pk for the newest available items. If an advertised item is not visible, it may be sold out, unpublished, or the promotion may have ended.","new arrivals,new collection,latest,catalog,new_arrivals,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,medium
blxck-0005,catalog,product_details,"Where can I find fabric, fit, and care details?","Open the relevant product page and review its description, size options, images, and care information before ordering. Do not assume two designs use the same fabric, cut, color, or measurements.","fabric,material,fit,care,description,catalog,product_details,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,high
blxck-0006,catalog,product_authenticity,Are Black x Original products original?,"Buy through the official blxck.pk store to reduce the risk of impersonation. Keep the order confirmation and packaging; for authenticity concerns, share the order number and clear product and label photos with official support.","original,authentic,counterfeit,catalog,product_authenticity,Pakistan ecommerce,customer support",en,https://blxck.pk/,2026-07-27,medium
blxck-0007,catalog,color_accuracy,Will the color look exactly like the photo?,"Product photos are a guide; lighting, editing, screen settings, and fabric batches can cause slight differences. Review all product images and the description, and contact support before ordering if an exact shade is essential.","color,shade,picture,difference,catalog,color_accuracy,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,medium
blxck-0008,catalog,restock,When will a sold-out item be restocked?,A sold-out item has no guaranteed restock date unless the store announces one. Check the product page and official brand channels for updates; support should not promise inventory that is not shown as available.,"sold out,restock,back in stock,catalog,restock,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,medium
blxck-0009,catalog,reserve_item,Can you reserve an item for me?,Items are normally secured only after an order is successfully placed and accepted. Adding an item to cart or messaging support does not guarantee reservation; availability can change before checkout.,"reserve,hold,cart,catalog,reserve_item,Pakistan ecommerce,customer support",en,https://blxck.pk/cart,2026-07-27,medium
blxck-0010,catalog,customization,Can I customize a design or size?,Customization is available only when explicitly offered on the product page or confirmed by official support before purchase. Do not place a standard order expecting an unlisted alteration.,"custom,alteration,personalized,catalog,customization,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,medium
blxck-0011,sizing,size_guide,How do I choose my size?,"Use the size chart or measurements on that specific product page. Compare them with a similar garment laid flat, consider the stated fit, and choose before checkout; generic S/M/L sizing can vary between designs.","size chart,measurement,fit,S,M,L,XL,sizing,size_guide,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,high
blxck-0012,sizing,between_sizes,What if I am between two sizes?,"Compare your garment measurements with the product chart and consider whether you prefer a fitted or relaxed look. If still unsure, send the product link and measurements to support before ordering; a recommendation is guidance, not a fit guarantee.","between sizes,fit advice,sizing,between_sizes,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,high
blxck-0013,sizing,size_chart_missing,The product has no size chart. What should I do?,Do not guess if sizing is important. Send official support the product link or exact title and request garment measurements before ordering.,"missing size chart,measurements,sizing,size_chart_missing,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,high
blxck-0014,sizing,wrong_size_selected,I selected the wrong size. Can I change it?,"For account- or order-specific help, ask for the order number and the phone or email used at checkout; never request a password, OTP, PIN, or full card details. Request the size change immediately. It is possible only if the order has not been processed or dispatched and the replacement is in stock; otherwise follow the applicable exchange policy.","wrong size,edit order,size change,sizing,wrong_size_selected,Pakistan ecommerce,customer support",en,https://blxck.pk/,2026-07-27,high
blxck-0015,sizing,fit_issue,The item does not fit me. What are my options?,"For account- or order-specific help, ask for the order number and the phone or email used at checkout; never request a password, OTP, PIN, or full card details. Keep the item unworn with tags and packaging, and contact support promptly. Eligibility, exchange window, courier charges, and exclusions must be checked against the policy displayed on the store at the time of purchase.","does not fit,exchange,size issue,sizing,fit_issue,Pakistan ecommerce,customer support",en,https://blxck.pk/policies/refund-policy,2026-07-27,high
blxck-0016,ordering,place_order,How do I place an order?,"Choose the product and available size, add it to cart, review quantity and variant, proceed to checkout, enter a complete Pakistani delivery address and active phone number, choose an offered payment method, and submit once. Save the confirmation or order number.","order,buy,checkout,add to cart,ordering,place_order,Pakistan ecommerce,customer support",en,https://blxck.pk/collections/all,2026-07-27,high
