id,category,intent,question,answer,keywords,language,source_url,last_reviewed,priority
srlines-0001,company,company_overview,I need a quick answer about what does SRLINES offer? (knowledge-base scenario 1),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 1 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 1,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0002,company,company_overview,Please explain what does SRLINES offer? (knowledge-base scenario 2),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 2 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 2,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0003,company,company_overview,Can you guide me on what does SRLINES offer? (knowledge-base scenario 3),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 3 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 3,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0004,company,company_overview,What should a new user know about what does SRLINES offer? (knowledge-base scenario 4),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 4 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 4,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0005,company,company_overview,Where do I find help for what does SRLINES offer? (knowledge-base scenario 5),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 5 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 5,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0006,company,company_overview,How do I get started with what does SRLINES offer? (knowledge-base scenario 6),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 6 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 6,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0007,company,company_overview,What is the official guidance for what does SRLINES offer? (knowledge-base scenario 7),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 7 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 7,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0008,company,company_overview,I am comparing options for what does SRLINES offer? (knowledge-base scenario 8),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 8 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 8,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0009,company,company_overview,What is the practical next step for what does SRLINES offer? (knowledge-base scenario 9),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 9 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 9,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0010,company,company_overview,Can you clarify what does SRLINES offer? (knowledge-base scenario 10),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 10 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 10,intent company overview",en,https://srlines.net,2026-07-24,high
srlines-0011,company,company_overview,Help me understand what does SRLINES offer? (knowledge-base scenario 11),"SRLINES provides business communication and automation tools, including unified inboxes, WhatsApp automation, chatbot flows, broadcasts, contact management, and integrations. This record is scenario 11 in the SRLINES AI knowledge-base sample.","srlines,company,about,communication,automation,scenario 11,intent company overview",en,https://srlines.net,2026-07-24,high
